,CWD_Status,Case_ID,Province,Sex,Species
8356,Negative,13890,Alberta,Male,Mule Deer
8357,Negative,13891,Alberta,Male,Mule Deer
8358,Negative,13892,Alberta,Male,Mule Deer
8359,Negative,13893,Alberta,Male,Mule Deer
8360,Negative,13894,Alberta,Male,Mule Deer
8361,Negative,13895,Alberta,Male,Mule Deer
8362,Negative,13896,Alberta,Male,Mule Deer
8363,Negative,19166,Alberta,Male,White-tailed Deer
8364,Negative,19167,Alberta,Male,White-tailed Deer
8365,Negative,19168,Alberta,Male,White-tailed Deer
8366,Negative,19169,Alberta,Male,White-tailed Deer
8367,Negative,19170,Alberta,Male,White-tailed Deer
8368,Negative,19171,Alberta,Male,White-tailed Deer
8369,Negative,19172,Alberta,Male,White-tailed Deer
8370,Negative,19173,Alberta,Male,White-tailed Deer
8371,Negative,19174,Alberta,Male,White-tailed Deer
8372,Negative,19175,Alberta,Male,White-tailed Deer
8373,Negative,19176,Alberta,Male,White-tailed Deer
8374,Negative,19177,Alberta,Male,White-tailed Deer
8375,Negative,19178,Alberta,Male,White-tailed Deer
8376,Negative,19179,Alberta,Male,White-tailed Deer
8377,Negative,19180,Alberta,Male,White-tailed Deer
8378,Negative,19736,Alberta,Male,White-tailed Deer
8379,Negative,19737,Alberta,Male,White-tailed Deer
8380,Negative,19738,Alberta,Male,White-tailed Deer
8381,Negative,19739,Alberta,Male,White-tailed Deer
8382,Negative,19740,Alberta,Male,White-tailed Deer
8383,Negative,19741,Alberta,Male,White-tailed Deer
8384,Negative,19742,Alberta,Male,White-tailed Deer
8385,Negative,19743,Alberta,Male,White-tailed Deer
8386,Negative,19744,Alberta,Male,White-tailed Deer
8387,Negative,19745,Alberta,Male,White-tailed Deer
8388,Negative,19746,Alberta,Male,White-tailed Deer
8389,Negative,19747,Alberta,Male,White-tailed Deer
8390,Negative,19748,Alberta,Male,White-tailed Deer
8391,Negative,19749,Alberta,Male,White-tailed Deer
8392,Negative,19750,Alberta,Male,White-tailed Deer
8393,Negative,19751,Alberta,Male,White-tailed Deer
8394,Negative,19752,Alberta,Male,White-tailed Deer
8395,Negative,19753,Alberta,Male,White-tailed Deer
8396,Negative,19754,Alberta,Male,White-tailed Deer
8397,Negative,19771,Alberta,Male,White-tailed Deer
8398,Negative,509,Alberta,Female,Mule Deer
8399,Negative,510,Alberta,Female,Mule Deer
8400,Negative,511,Alberta,Female,Mule Deer
8401,Negative,1283,Alberta,Female,Mule Deer
8402,Negative,1284,Alberta,Female,Mule Deer
8403,Negative,1285,Alberta,Female,Mule Deer
8404,Negative,1286,Alberta,Female,Mule Deer
8405,Negative,1287,Alberta,Female,Mule Deer
8406,Negative,1288,Alberta,Female,Mule Deer
8407,Negative,1289,Alberta,Female,Mule Deer
8408,Negative,1290,Alberta,Female,Mule Deer
8409,Negative,1291,Alberta,Female,Mule Deer
8410,Negative,1292,Alberta,Female,Mule Deer
8411,Negative,1293,Alberta,Female,Mule Deer
8412,Negative,1294,Alberta,Female,Mule Deer
8413,Negative,1295,Alberta,Female,Mule Deer
8414,Negative,1296,Alberta,Female,Mule Deer
8415,Negative,1297,Alberta,Female,Mule Deer
8416,Negative,1298,Alberta,Female,Mule Deer
8417,Negative,1299,Alberta,Female,Mule Deer
8418,Negative,1300,Alberta,Female,Mule Deer
8419,Negative,1301,Alberta,Female,Mule Deer
8420,Negative,8504,Alberta,Female,White-tailed Deer
8421,Negative,8505,Alberta,Female,White-tailed Deer
