Case_ID,Province,Harvest Type,ObsDate,Month_Obs,Year_Obs,Easting,Northing,Species,Sex,CWD Status
30098,Saskatchewan,Hunter,2005-11-22 0:00,11,2005,586729.85,5833607.79,Mule Deer,Female,Negative
30099,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,584571.0313,5833606.955,Mule Deer,Female,Negative
30100,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,576959.9144,5833480.884,Mule Deer,Female,Negative
30101,Saskatchewan,Hunter,2005-11-10 0:00,11,2005,574422.8578,5833441.501,Mule Deer,Male,Negative
30102,Saskatchewan,Hunter,2005-11-25 0:00,11,2005,574422.8578,5833441.501,Mule Deer,Female,Negative
30103,Saskatchewan,Hunter,2005-12-01 0:00,12,2005,580017.9019,5833530.109,Mule Deer,Female,Negative
30104,Saskatchewan,Hunter,2005-12-03 0:00,12,2005,580060.7497,5833530.812,Mule Deer,Male,Negative
30105,Saskatchewan,Hunter,2005-12-01 0:00,12,2005,580624.5365,5833540.102,Mule Deer,Female,Negative
30106,Saskatchewan,Hunter,2005-11-29 0:00,11,2005,574422.8578,5833441.501,Mule Deer,Male,Negative
30107,Saskatchewan,Hunter,2005-11-08 0:00,11,2005,584571.0313,5833606.955,Mule Deer,Female,Negative
30108,Saskatchewan,Hunter,2005-11-21 0:00,11,2005,586262.3792,5833636.585,Mule Deer,Female,Negative
30109,Saskatchewan,Hunter,2005-11-01 0:00,11,2005,584571.0313,5833606.955,Mule Deer,Female,Negative
30110,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,584571.0313,5833606.955,Mule Deer,Female,Negative
30111,Saskatchewan,Hunter,2005-11-15 0:00,11,2005,596401.2087,5834290.128,Mule Deer,Female,Negative
30112,Saskatchewan,Hunter,2005-11-19 0:00,11,2005,585690.4512,5834090.093,Mule Deer,Female,Negative
30113,Saskatchewan,Hunter,2005-11-12 0:00,11,2005,585690.4512,5834090.093,Mule Deer,Female,Negative
